格调绮园 || 11.2平米 || 1830元/月
阳光壹佰北园 || 11.4平米 || 1590元/月
都市桃源 || 12平米 || 1060元/月
都市桃源 || 11.9平米 || 1060元/月
凌奥花园 || 16平米 || 1790元/月
益寿东里 || 15平米 || 1590元/月
华亭国际 || 13.2平米 || 1330元/月
都市桃源 || 15平米 || 1090元/月
昌宁南里 || 15平米 || 1730元/月
格调绮园 || 9平米 || 1490元/月
格调绮园 || 9.4平米 || 1490元/月
荔红花园 || 10.4平米 || 960元/月
格调绮园 || 11平米 || 1660元/月
格调绮园 || 12平米 || 1590元/月
格调绮园 || 12.33平米 || 1590元/月
都市桃源 || 12.5平米 || 1130元/月
利海家园 || 9.4平米 || 1490元/月
奥莱城 || 94.24平米 || 1500元/月
南京路 || 54平米 || 2000元/月
宇萃里 || 51.06平米 || 1800元/月
津沽名园 || 61平米 || 2500元/月
绮云里 || 55平米 || 2200元/月
江南公寓 || 60平米 || 3000元/月
广田里 || 59.08平米 || 2400元/月
天涛园 || 190平米 || 7000元/月
京基嶺域 || 419.3平米 || 30000元/月
海逸长洲瀚景园 || 102平米 || 4200元/月
光明里 || 83.1平米 || 2000元/月
津滨杰作 || 218平米 || 15000元/月
奥城公寓 || 63.8平米 || 2600元/月
中兴泊仕湾 || 79.79平米 || 3300元/月
城市之星大厦 || 38.72平米 || 1800元/月
爱国里 || 67.6平米 || 1200元/月
金厦里 || 74.25平米 || 2400元/月
喜年广场 || 45平米 || 2600元/月
北斗花园 || 134平米 || 5500元/月
如意大厦 || 71平米 || 3600元/月
佳平里 || 67平米 || 2000元/月
盈润园 || 79.87平米 || 2900元/月
艺苑里 || 76.01平米 || 2500元/月
碧水家园A区 || 30平米 || 1700元/月
菁华津城 || 93平米 || 1800元/月
跃进里(塘沽区) || 84平米 || 2400元/月
风光里 || 39平米 || 1500元/月
云华里 || 149平米 || 8000元/月
富力津门湖江湾广场 || 40.81平米 || 1800元/月
碧春园 || 52平米 || 1400元/月
风采里 || 37.02平米 || 1700元/月
阳光金地 || 46平米 || 2100元/月
裕德里 || 30平米 || 2000元/月
